year,physical_science,computer_science
1970 , 13.8 , 13.6
1971 , 14.9 , 13.6
1972 , 14.8 , 14.9
1973 , 16.5 , 16.4
1974 , 18.2 , 18.9
1975 , 19.1 , 19.8
1976 , 20.0 , 23.9
1977 , 21.3 , 25.7
1978 , 22.5 , 28.1
1979 , 23.7 , 30.2
1980 , 24.6 , 32.5
1981 , 25.7 , 34.8
1982 , 27.3 , 36.3
1983 , 27.6 , 37.1
1984 , 28.0 , 36.8
1985 , 27.5 , 35.7
1986 , 28.4 , 34.7
1987 , 30.4 , 32.4
1988 , 29.7 , 30.8
1989 , 31.3 , 29.9
1990 , 31.6 , 29.4
1991 , 32.6 , 28.7
1992 , 32.6 , 28.2
1993 , 33.6 , 28.5
1994 , 34.8 , 28.5
1995 , 35.9 , 27.5
1996 , 37.3 , 27.1
1997 , 38.3 , 26.8
1998 , 39.7 , 27.0
1999 , 40.2 , 28.1
2000 , 41.0 , 27.7
2001 , 42.2 , 27.6
2002 , 41.1 , 27.0
2003 , 41.7 , 25.1
2004 , 42.1 , 22.2
2005 , 41.6 , 20.6
2006 , 40.8 , 18.6
2007 , 40.7 , 17.6
2008 , 40.7 , 17.8
2009 , 40.7 , 18.1
2010 , 40.2 , 17.6
2011 , 40.1 , 18.2
